(All products),(Alle Artikel)
-- Select storeview --,-- Bitte Storeview wählen --
"<b>Please note:</b> For safety reasons, we recommend importing to a staging system first. Make sure to backup all your data before importing.",<b>Bitte beachten Sie:</b> Aus Sicherheitsgründen sollte der erste Import in einem Testsystem (Staging) durchgeführt werden. Erstellen Sie vor dem Import ein Backup Ihrer Daten.
"<b>Select all [...] without existing translation:</b> The module will automatically select all Products, categories, CMS pages and email templates for which no translated text exists in the target language.","<b>Alle [...] ohne vorhandene Übersetzung auswählen:</b> Das Modul wählt für Sie automatisch alle Artikel, Kategorien, CMS-Seiten und/oder E-Mail-Vorlagen aus, für die noch keine Texte in der Zielsprache existieren."
<i><span style='color:red;'>Important:</span> All previous assignments will be deleted!</i>,<i><span style='color:red;'>Achtung:</span> Alle vorherigen Zuordnungen werden dadurch gelöscht!</i>
"<i><span style='color:red;'>Important:</span> We recommend using this setting only for the initial translation of a new online shop, as it will trigger a translation of ALL language files for the selected target language!</i>","<i><span style='color:red;'>Achtung:</span> Diese Einstellung empfiehlt sich nur bei der ersten Übersetzung neuer Onlineshops, denn hier werden ALLE Sprachdateien der gewählten Zielsprache neu übersetzt!</i>"
A storeview does not exist (anymore),Der Storeview existiert nicht (mehr)
Action,Aktion
Add eMail-Template,E-Mail-Vorlage hinzufügen
Additional settings,Weitere Einstellungen
Already submitted. Project settings can no longer be edited.,Bereits abgeschickt. Projekteinstellungen können nicht mehr geändert werden.
Analysing,Analysiere
Analyzing,Analysiere
Any information you provide is voluntary. Your data will be used for the purpose of logging in to the translation portal and for project processing in your dealings with Eurotext AG only. Your information will not be forwarded to third parties. You can request a deletion of your information at any time by sending an email to <a href='mailto:datenschutz@eurotext.de'>privacy@eurotext.de</a>.,Alle Angaben erfolgen freiwillig. Die von Ihnen übermittelten Informationen werden ausschließlich für die Anmeldung am Übersetzungsportal und die Projektabwicklung mit der Eurotext AG genutzt. Die Weitergabe der Daten an Dritte ist ausgeschlossen. Sie können jederzeit eine Löschung Ihrer Daten unter <a href='mailto:datenschutz@eurotext.de'>privacy@eurotext.de</a>veranlassen.
Begin import,Import starten
Bundle Product,Bündelartikel
CMS pages per file,CMS-Seiten pro Datei
CMS-Block,CMS-Block
CMS-Page,CMS-Seite
CMS-Type,CMS-Typ
Categories per file,Kategorien pro Datei
Category filter,Kategorienfilter
Checking CMS-Block,Prüfe CMS-Block
Checking CMS-Blocks,Prüfe CMS-Blöcke
Checking CMS-Page,Prüfe CMS-Seite
Checking CMS-Pages,Prüfe CMS-Seiten
Checking Product,Prüfe Artikel
Checking attributes,Prüfe Attribute
Checking category,Prüfe Kategorie
Checking eMail-Template,Prüfe E-Mail-Vorlage
Checking eMail-Templates,Prüfe E-Mail-Vorlagen
City,Ort
Click here to change the scope of url keys to enable translation of url keys for products and categories. (Attention: This can not be undone!),"Klicken Sie hier, um den Umfang der URL-Keys zu ändern, damit die URL-Keys für Artikel und Kategorien übersetzt werden können. (Achtung: Dies kann nicht mehr rückgängig gemacht werden!)"
Clicking <b>Select all language files without existing translation</b> will automatically select all files and check for missing translations. All entries without an existing translation will be exported.,Mit Klick auf <b>Alle Einträge in Sprachdateien ohne vorhandene Übersetzung auswählen</b> werden alle Sprachdateien eingelesen und nach fehlenden Übersetzungen überprüft. Alle Einträge ohne Übersetzung werden exportiert.
Clicking <b>Select language files</b> will allow you to manually select specific shop system texts in the selection window for translation.,Mit Klick auf <b>Sprachdateien auswählen</b> können Sie die für die Übersetzung bestimmten Shop-Systemtexte im Auswahlfenster manuell zuordnen.
"Clicking the button <b>Request your free quote now</b> will transmit your texts for translation to the translation portal, and you will receive a detailed quote for your translation project within the next 24 hours (weekdays).",Durch Klick auf den Button <b>Jetzt kostenloses Angebot anfordern</b> werden die zu übersetzenden Texte an das Übersetzungsportal übermittelt und Sie erhalten innerhalb von 24 Stunden (werktags) ein detailliertes Angebot für die Übersetzung Ihrer Texte.
"Clicking the button below will transmit the selected texts to the translation portal, and you will receive a detailed quote for the translation of your texts within 24h (weekdays).",Mit einem Klick auf den nachfolgenden Button werden die ausgewählten Texte an das Übersetzungsportal übermittelt und Sie erhalten innerhalb von 24 Stunden (werktags) ein detailliertes Angebot für die Übersetzung Ihrer Texte.
Company,Firma
Configurable Product,Konfigurierbarer Artikel
Contact,Kontakt
Could not connect to server. Could be a temporary error or firewall problem. You could also check for a new module version.,"Es konnte keine Server-Verbindung hergestellt werden. Dies kann auf einen vorübergehenden Fehler oder ein Problem mit der Firewall zurückzuführen sein. Sie sollten außerdem prüfen, ob eine neue Modul-Version verfügbar ist."
Country,Land
Create a new project for each translation order.,Legen Sie für jeden Übersetzungsauftrag ein Projekt an.
Create a unique project name here. This will allow you better recognize your various projects later.,"Setzen Sie hier einen eindeutigen Projektnamen ein. Das erlaubt Ihnen, die Projekte besser zuzuordnen bzw. sie wiederzuerkennen."
Current value,Aktueller Wert
Current value for 'max_execution_time',Aktueller Wert von 'max_execution_time'
Currently your Magento installation is not capable to save translated url keys for products and categories.,"Ihre aktuelle Magento-Installation ist nicht in der Lage, übersetzte URL-Keys für Artikel und Kategorien zu speichern."
Customer ID,Kunden-Nummer
Delete,Löschen
Designation,Bezeichnung
Disabled,Deaktiviert
Do you really want to delete this project?,Wollen Sie dieses Projekt wirklich löschen?
Do you really want to reset this project?,Wollen Sie dieses Projekt wirklich zurücksetzen?
Done,Fertig
Downloadable Product,Downloadartikel
Each project must have a name assigned (we recommend something unique and identifiable).,Vergeben Sie dem Projekt einen Namen (es empfiehlt sich hier einen aussagekräftigen Namen zu wählen)
Edit,Bearbeiten
Edit information,Daten ändern
Enabled,Aktiviert
Enter designation or SKU,Bezeichnung oder Artikelnummer eingeben
Error Message,Fehlermeldung
Export,Export
Export SEO content?,SEO-Inhalte exportieren?
Export URL keys?,URL-Keys exportieren?
Export attributes und attribute options?,Attribute und Attribut-Optionen exportieren?
Filename,Dateiname
Filter,Filter
Finished loading language files.,Das Laden der Sprachdateien ist abgeschlossen.
First Name,Vorname
Generating Language files,Erzeuge Sprachdateien
Generating ZIP-Archive,Erzeuge ZIP-Archiv
Generating language files...,Erzeuge Sprachdateien ...
Grouped Product,Gruppen Artikel
Help,Hilfe
Here you will find a list of the settings required for operating the Eurotext interface,Hier finden Sie eine Auflistung der für den Betrieb der Eurotext-Schnittstelle notwendigen Einstellungen
House No,Hausnummer
ID,ID
Identifier,Identifizierer
Import,Importieren
Import the *.zip file containing the finished translations here,Die *.zip-Datei mit den fertigen Übersetzungen können Sie hier wieder importieren
Import translations,Übersetzungen importieren
Import translations now,Jetzt Übersetzungen importieren
Important,Wichtig
In Stock,Auf Lager
In progress,In Bearbeitung
Installed,Installiert
Language of the translation portal,Sprache im Übersetzungsportal
Language settings,Spracheinstellungen
Last Name,Nachname
Last save,Zuletzt gespeichert
Last update,Letzte Aktualisierung
Loaded,Geladen
Loading - Please wait,Lade - Einen Moment
Loading - please wait …,Lade - Einen Moment...
Loading - please wait...,Lade - Einen Moment...
Login data could not be validated. FTP-Extension is missing!,Die Login-Daten konnten nicht bestätigt werden. FTP-Extension fehlt!
